list-none-none,1,10,1,30,82025,2734
list-none-none,1,100,1,300,126255,420
list-none-none,1,1000,1,3000,3616150,1205
list-none-none,1,10000,1,30000,584143144,19471
list-none-none,1,20000,1,60000,2949637617,49160
list-none-none,2,1,1,6,174342,29057
list-none-none,2,10,1,60,121048,2017
list-none-none,2,100,1,600,551924,919
list-none-none,4,1,1,12,199791,16649
list-none-none,4,10,1,120,145515,1212
list-none-none,8,1,1,24,305820,12742
list-none-none,8,10,1,240,298916,1245
list-i-none,2,1,1,6,170149,28358
list-d-none,2,1,1,6,152198,25366
list-l-none,2,1,1,6,134810,22468
list-id-none,2,1,1,6,99475,16579
list-il-none,2,1,1,6,115593,19265
list-dl-none,2,1,1,6,140373,23395
list-idl-none,2,1,1,6,111522,18587
list-i-none,2,2,1,12,146570,12214
list-d-none,2,2,1,12,152171,12680
list-l-none,2,2,1,12,152279,12689
list-id-none,2,2,1,12,95110,7925
list-dl-none,2,2,1,12,115548,9629
list-i-none,2,4,1,24,153549,6397
list-d-none,2,4,1,24,145472,6061
list-il-none,2,4,1,24,175041,7293
list-dl-none,2,4,1,24,167250,6968
list-idl-none,2,4,1,24,166583,6940
list-d-none,2,8,1,48,159191,3316
list-l-none,2,8,1,48,169913,3539
list-id-none,2,8,1,48,165026,3438
list-il-none,2,8,1,48,132586,2762
list-dl-none,2,8,1,48,193484,4030
list-idl-none,2,8,1,48,189152,3940
list-i-none,2,16,1,96,185767,1935
list-l-none,2,16,1,96,262682,2736
list-id-none,2,16,1,96,160378,1670
list-dl-none,2,16,1,96,281523,2932
list-idl-none,2,16,1,96,287261,2992
list-d-none,2,32,1,192,252687,1316
list-l-none,2,32,1,192,651414,3392
list-id-none,2,32,1,192,260660,1357
list-dl-none,2,32,1,192,672788,3504
list-idl-none,2,32,1,192,633677,3300
list-i-none,4,1,1,12,182287,15190
list-d-none,4,1,1,12,171952,14329
list-l-none,4,1,1,12,213603,17800
list-id-none,4,1,1,12,181686,15140
list-dl-none,4,1,1,12,179490,14957
list-i-none,4,2,1,24,179315,7471
list-d-none,4,2,1,24,180312,7513
list-l-none,4,2,1,24,145596,6066
list-id-none,4,2,1,24,192680,8028
list-il-none,4,2,1,24,183024,7626
list-dl-none,4,2,1,24,151865,6327
list-idl-none,4,2,1,24,208914,8704
list-d-none,4,4,1,48,171943,3582
list-il-none,4,4,1,48,154753,3224
list-dl-none,4,4,1,48,200551,4178
list-d-none,4,8,1,96,200075,2084
list-l-none,4,8,1,96,256408,2670
list-il-none,4,8,1,96,266853,2779
list-dl-none,4,8,1,96,215492,2244
list-idl-none,4,8,1,96,278470,2900
list-il-none,4,16,1,192,483606,2518
list-dl-none,4,16,1,192,483195,2516
list-dl-none,4,32,1,384,1259725,3280
list-idl-none,4,32,1,384,1322757,3444
list-d-none,8,1,1,24,330471,13769
list-il-none,8,1,1,24,275415,11475
list-dl-none,8,1,1,24,278464,11602
list-i-none,8,2,1,48,265613,5533
list-d-none,8,2,1,48,322999,6729
list-l-none,8,2,1,48,305424,6363
list-d-none,8,4,1,96,298966,3114
list-il-none,8,4,1,96,285400,2972
list-dl-none,8,4,1,96,284335,2961
list-l-none,8,8,1,192,397351,2069
list-dl-none,8,8,1,192,415725,2165
list-i-none,8,16,1,384,1566070,4078
list-idl-none,8,16,1,384,882668,2298
list-dl-none,8,32,1,768,2362832,3076
list-idl-none,8,32,1,768,2469190,3215
list-d-none,12,1,1,36,543021,15083
list-id-none,12,1,1,36,428943,11915
list-idl-none,12,1,1,36,1001253,27812
list-i-none,12,2,1,72,409542,5688
list-l-none,12,2,1,72,428278,5948
list-id-none,12,2,1,72,454958,6318
list-il-none,12,2,1,72,429780,5969
list-dl-none,12,2,1,72,359289,4990
list-idl-none,12,2,1,72,418425,5811
list-d-none,12,4,1,144,405545,2816
list-dl-none,12,4,1,144,406437,2822
list-i-none,12,8,1,288,405441,1407
list-d-none,12,8,1,288,432780,1502
list-dl-none,12,8,1,288,580608,2016
list-il-none,12,16,1,576,1211704,2103
list-i-m,12,32,1,1152,2571350,2232
list-d-m,12,32,1,1152,2459707,2135
list-l-m,12,32,1,1152,18632915,16174
list-id-m,12,32,1,1152,2950071,2560
list-il-m,12,32,1,1152,23279701,20208
list-dl-m,12,32,1,1152,18529138,16084
list-idl-m,12,32,1,1152,27408619,23792
list-i-s,12,32,1,1152,3765605,3268
list-d-s,12,32,1,1152,3144225,2729
list-l-s,12,32,1,1152,20035578,17391
list-id-s,12,32,1,1152,5329818,4626
list-il-s,12,32,1,1152,36090157,31328
list-dl-s,12,32,1,1152,40943028,35540
list-idl-s,12,32,1,1152,32180387,27934
list-none-m,1,1000,1,3000,3801440,1267
list-none-m,2,1000,1,6000,22505698,3750
list-none-m,4,1000,1,12000,83255918,6937
list-none-m,8,1000,1,24000,389827068,16242
list-none-m,12,1000,1,36000,945349483,26259
list-none-m,16,1000,1,48000,1759987845,36666
list-none-m,24,1000,1,72000,4144503590,57562
list-none-s,1,1000,1,3000,3640324,1213
list-none-s,2,1000,1,6000,27885785,4647
list-none-s,4,1000,1,12000,242729448,20227
list-none-s,8,1000,1,24000,838369481,34932
list-none-s,12,1000,1,36000,2706082618,75168
list-none-s,16,1000,1,48000,6555119911,136564
list-none-s,24,1000,1,72000,42407673196,588995
